                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1403,                 2.5774,                 1.3177,                 0.5612,                0.59077,                0.56193,                0.43795,                0.88584,                 1.4554,                  1.139,              0.0003326,              0.0003326,              0.0003326
                      2,                0.93595,                 1.5275,                 1.1803,                0.70668,                 0.7078,                0.74942,                0.58691,                0.82242,                0.99416,                 1.0847,             0.00064396,             0.00064396,             0.00064396
                      3,                0.88979,                 1.2639,                 1.1518,                0.72423,                0.72141,                0.78618,                0.61912,                0.78415,                0.87016,                 1.0735,             0.00093332,             0.00093332,             0.00093332
                      4,                0.86429,                 1.1631,                 1.1428,                0.74395,                0.78436,                 0.8243,                 0.6533,                0.79173,                0.79069,                 1.0659,               0.000901,               0.000901,               0.000901
                      5,                0.84553,                 1.0983,                 1.1281,                0.80844,                0.77055,                0.84595,                0.67488,                0.76201,                0.76233,                 1.0485,               0.000868,               0.000868,               0.000868
                      6,                0.82842,                 1.0456,                 1.1208,                0.77685,                0.77342,                0.84626,                0.68215,                0.75386,                0.73879,                 1.0435,               0.000835,               0.000835,               0.000835
                      7,                0.81977,                0.99989,                 1.1131,                0.79045,                0.81338,                0.87032,                0.70034,                0.76284,                0.67113,                 1.0512,               0.000802,               0.000802,               0.000802
                      8,                0.80795,                0.97534,                 1.1085,                0.80148,                0.80041,                 0.8623,                0.70331,                0.73412,                0.68415,                 1.0268,               0.000769,               0.000769,               0.000769
                      9,                0.80271,                 0.9486,                 1.1034,                0.77764,                0.83179,                0.88086,                0.71517,                0.73578,                0.64507,                 1.0348,               0.000736,               0.000736,               0.000736
                     10,                0.79051,                0.92757,                 1.0983,                0.82268,                0.79422,                0.87675,                0.71304,                0.72803,                0.64351,                 1.0331,               0.000703,               0.000703,               0.000703
                     11,                0.78869,                 0.9041,                 1.0993,                0.81725,                0.82818,                0.89425,                0.73053,                0.72332,                0.60498,                 1.0225,                0.00067,                0.00067,                0.00067
                     12,                0.78241,                0.89091,                 1.0931,                0.80854,                0.83538,                0.88784,                0.72113,                0.72446,                0.61993,                 1.0251,               0.000637,               0.000637,               0.000637
                     13,                  0.772,                0.87425,                 1.0875,                0.83166,                0.78627,                0.88712,                 0.7304,                 0.7098,                 0.6199,                 1.0146,               0.000604,               0.000604,               0.000604
                     14,                0.77332,                 0.8598,                 1.0893,                0.85721,                0.83965,                 0.9078,                0.74167,                0.71138,                0.56985,                 1.0163,               0.000571,               0.000571,               0.000571
                     15,                0.75562,                0.83233,                 1.0812,                0.83116,                 0.8456,                0.91041,                0.75163,                0.69993,                0.56525,                 1.0099,               0.000538,               0.000538,               0.000538
                     16,                 0.7536,                 0.8286,                 1.0806,                0.82592,                0.85057,                0.91126,                0.74482,                0.71176,                0.56533,                 1.0165,               0.000505,               0.000505,               0.000505
                     17,                0.74787,                0.81617,                 1.0767,                0.84803,                0.81512,                0.90136,                0.73776,                0.72328,                0.57494,                 1.0193,               0.000472,               0.000472,               0.000472
                     18,                0.74853,                0.81027,                 1.0765,                0.81942,                0.80929,                0.88824,                0.73479,                0.70177,                0.59571,                  1.005,               0.000439,               0.000439,               0.000439
                     19,                0.73627,                0.79407,                 1.0709,                0.86871,                0.82006,                0.91225,                0.75488,                0.69146,                0.53884,                 1.0016,               0.000406,               0.000406,               0.000406
                     20,                0.73676,                0.78806,                 1.0713,                0.87035,                 0.8587,                0.92639,                0.76795,                0.68796,                0.50674,                 1.0002,               0.000373,               0.000373,               0.000373
                     21,                 0.7284,                0.72206,                 1.0618,                0.84617,                0.86525,                0.92633,                0.76668,                0.68524,                0.51828,                0.99826,                0.00034,                0.00034,                0.00034
                     22,                0.72089,                0.70587,                 1.0573,                0.86444,                0.85388,                0.91995,                0.76032,                0.68519,                 0.5287,                0.99882,               0.000307,               0.000307,               0.000307
                     23,                0.71358,                0.69785,                 1.0593,                0.85474,                0.84786,                0.92069,                0.76397,                0.67985,                0.51299,                0.99442,               0.000274,               0.000274,               0.000274
                     24,                0.70612,                0.68211,                 1.0504,                0.85769,                0.87485,                0.92842,                0.77117,                0.67931,                0.49406,                0.99487,               0.000241,               0.000241,               0.000241
                     25,                 0.7044,                0.67368,                 1.0496,                0.85521,                0.89008,                0.92991,                0.77432,                0.67329,                0.48703,                0.99205,               0.000208,               0.000208,               0.000208
                     26,                0.69375,                0.65862,                 1.0452,                0.88169,                0.86575,                0.93136,                0.77487,                0.66736,                0.49021,                0.98477,               0.000175,               0.000175,               0.000175
                     27,                0.68896,                0.64844,                 1.0415,                 0.8835,                 0.8633,                0.93227,                0.77824,                0.66401,                0.48375,                0.98221,               0.000142,               0.000142,               0.000142
                     28,                0.68386,                0.63996,                  1.039,                  0.874,                0.87323,                0.93303,                0.78056,                0.65863,                0.47751,                0.98025,               0.000109,               0.000109,               0.000109
                     29,                0.68404,                0.63814,                 1.0395,                0.86578,                0.87761,                 0.9341,                0.78055,                0.66161,                0.47867,                0.98192,                7.6e-05,                7.6e-05,                7.6e-05
                     30,                0.67702,                0.62493,                 1.0365,                0.88122,                 0.8744,                0.93492,                0.78264,                 0.6574,                0.47363,                0.98118,                4.3e-05,                4.3e-05,                4.3e-05
